date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:06	975365/975365	---MCZ	200	added ('OK')	image/svg+xml	etag:%22399112d7aefcbf6cf7c39526dd21158d-ssl-df%22	https://techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://techfiesta.netlify.app/assets/vendor/boxicons/css/boxicons.min.css)
12:06:07	60859/60859	---M-Z	200	added ('OK')	text/css	etag:W/%22edbb-Du3MPQ7GnRobCfGvnAP4Uqb5QVI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css	(from https://techfiesta.netlify.app/modules/cs)
12:06:07	258427/258427	---M--	200	added ('OK')	image/jpeg	etag:%22e9bfe16724d0570e7d1465e876bf2311-ssl%22	https://techfiesta.netlify.app/assets/img/events-bg.jpg	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/assets/img/events-bg.jpg	(from https://techfiesta.netlify.app/assets/css/style.css)
12:06:07	232691/232691	---M-Z	200	added ('OK')	text/css	etag:W/%2238cf3-SvPX4VpqOAxsurukLprfMwtJ1Y8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/css/bootstrap.min.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/css/bootstrap.min.css	(from https://techfiesta.netlify.app/modules/cs)
12:06:07	80578/80578	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213ac2-jNeXExg3GrPRY3nfbPslSlxkn8o%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/js/bootstrap.bundle.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha3/dist/js/bootstrap.bundle.min.js	(from https://techfiesta.netlify.app/modules/cs)
12:06:08	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css	(from https://techfiesta.netlify.app/modules/cs)
12:06:08	3720418/3720418	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Apr%202023%2009:53:11%20GMT	https://www.nmiet.edu.in/it/images/mr-ashish-manwatkar.JPG	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/www.nmiet.edu.in/it/images/mr-ashish-manwatkar.jpg	(from https://techfiesta.netlify.app/)
12:06:09	187286/187286	---MCZ	200	added ('OK')	text/css	etag:%225e777c773ac401060c1ae132e5f76bee-ssl-df%22	https://techfiesta.netlify.app/modules/css/slides.min.css?41331	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/css/slides.min33eb.css	(from https://techfiesta.netlify.app/modules/cs)
12:06:09	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1681195923-ssl-df	https://techfiesta.netlify.app/modules/festlogo-removebg-preview.png	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/festlogo-removebg-preview.35.delayed	(from https://techfiesta.netlify.app/modules/cs)
12:06:09	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://techfiesta.netlify.app/modules/cs)
12:06:11	144123/144123	---MCZ	200	added ('OK')	application/javascript	etag:%2222122cf2b711dc6150e4e83182be1042-ssl-df%22	https://techfiesta.netlify.app/modules/js/slides.min.js?41331	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/js/slides.min33eb.js	(from https://techfiesta.netlify.app/modules/cs)
12:06:11	106812/106812	---M--	200	added ('OK')	font/woff	etag:W/%221a13c-GxDOCA4lYqi36DlQRNPKg9wRKZk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons.woff?4601c71fb26c9277391ec80789bfde9c	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons289b.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
12:06:12	80504/80504	---M--	200	added ('OK')	font/woff2	etag:W/%2213a78-LeNORn2wta85aJwpaQsm7EA3IQI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons.woff2?4601c71fb26c9277391ec80789bfde9c	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/fonts/bootstrap-icons289b.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
12:06:12	121296/121296	---M--	200	added ('OK')	font/woff2	etag:W/%221d9d0-F9rQd2iZrRvq2r0GHDTioiss3nQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/fonts/bootstrap-iconsbf04.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css)
12:06:12	164352/164352	---M--	200	added ('OK')	font/woff	etag:W/%2228200-dZGccXzlxbxxa8UXBcDNC2D0v/w%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/fonts/bootstrap-iconsbf04.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css)
12:06:13	206/206	---M--	200	added ('OK')	image/svg+xml	etag:%2238b3f9eb0f0bb50890a84aeda3cd0deb-ssl%22	https://techfiesta.netlify.app/modules/assets/svg/video-icon.svg	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/assets/svg/video-icon.svg	(from https://techfiesta.netlify.app/modules/css/slides.min.css?41331)
12:06:14	112/112	---M--	200	added ('OK')	image/svg+xml	etag:%22e2fd6e633f9d1ee08bd19c6709e3e300-ssl%22	https://techfiesta.netlify.app/modules/assets/svg/play.svg	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/assets/svg/play.svg	(from https://techfiesta.netlify.app/modules/css/slides.min.css?41331)
12:06:15	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.3.0/font/bootstrap-icons.css)
12:06:16	202169/202169	---M--	200	added ('OK')	image/png	etag:%22c6446bfcef3a2ba756050c645c5e489e-ssl%22	https://techfiesta.netlify.app/modules/assets/img/image-100.png	C:/Users/hp/OneDrive/Desktop/pbl%20se/pdgsr/techfiesta.netlify.app/modules/assets/img/image-100.png	(from https://techfiesta.netlify.app/modules/css/slides.min.css?41331)
